Team name,Games played,Total make %,aarosh's secret formula,avg offensive rebound,avg make %,turnovers per game,OBR%,FTR%,free throw make%
byu cougars,27,9.290154899,0.4871690039,13.37037037,0.3440798111,12.48148148,51.77777778,0.2166003411,0.750656168
south carolina gamecocks,32,10.13191352,0.4785753534,16.5,0.3166222975,14.53125,44.75,0.3153061224,0.6731391586
depaul blue demons,32,10.86636873,0.4780286122,15.25,0.339574023,13.84375,60.1875,0.1996685998,0.7634854772
stanford cardinal,31,10.67705905,0.4769491406,13.35483871,0.3444212595,13,48.32258065,0.265167364,0.6804733728
montana state bobcats,34,10.13324125,0.4694542547,12.79411765,0.2980365075,11.70588235,50.38235294,0.2970204842,0.7805642633
arkansas razorbacks,31,9.79235826,0.4646941588,11.09677419,0.3158825245,11.29032258,52.19354839,0.3195718654,0.673046252
missouri state lady bears,31,8.43244084,0.4590079658,15.77419355,0.2720142206,13.09677419,47.03225806,0.3117616846,0.7380560132
south dakota coyotes,30,9.85918876,0.4552519948,9.866666667,0.3286396253,10.46666667,50,0.2338530067,0.7523809524
lsu tigers,28,9.177544095,0.449215941,13.53571429,0.327769432,13.67857143,50.46428571,0.3069196429,0.6654545455
jackson state lady tigers,27,8.549308407,0.4449890138,16.25925926,0.3166410521,15.81481481,49.22222222,0.3744343891,0.6918429003
texas longhorns,32,10.30745999,0.4422169265,14.28125,0.3221081247,14.375,47.65625,0.3254288597,0.6992248062
nebraska cornhuskers,32,11.1754375,0.4419543142,13.15625,0.3492324218,14.125,50.5,0.2837506136,0.7214532872
baylor bears,33,11.2993448,0.441199868,11.18181818,0.342404388,12.60606061,49.90909091,0.316468254,0.7304075235
dayton flyers,26,8.038537853,0.4388147171,12.65384615,0.3091745328,12.69230769,47.03846154,0.287371134,0.6771300448
florida gulf coast eagles,29,10.45219387,0.4332653732,9.275862069,0.3604204782,11.27586207,54.31034483,0.2418655098,0.6591928251
toledo rockets,30,9.740297835,0.4330800991,11.8,0.3246765945,12.73333333,48.26666667,0.2974472808,0.7406716418
oregon ducks,29,9.489388663,0.4302579463,12.55172414,0.3272202987,13.31034483,47.89655172,0.2726754136,0.7133891213
gonzaga bulldogs,32,10.57856262,0.4270769308,14.15625,0.3305800818,14.84375,43.40625,0.2882736156,0.7721280603
marshall thundering herd,28,7.983369281,0.4228131413,12.96428571,0.2851203315,12.67857143,46.75,0.2900717703,0.7072164948
utah utes,31,10.43464319,0.4186066277,13.35483871,0.3366013933,14.83870968,46.77419355,0.3100858369,0.7820069204
louisville cardinals,29,10.01463798,0.4127471099,13.03448276,0.3453323443,14.44827586,48.93103448,0.2092376183,0.7207446809
southern illinois salukis,30,9.107809063,0.4118593609,12.36666667,0.3035936354,13.2,43.53333333,0.2969588551,0.7048192771
ohio bobcats,29,9.242815788,0.4113515729,11.79310345,0.3187177858,13.20689655,52.51724138,0.2938337802,0.6751824818
iowa state cyclones,32,11.2023223,0.4112667397,10.4375,0.350072572,12.78125,50.3125,0.2659465021,0.8259187621
south dakota state jackrabbits,32,11.67678767,0.4098835401,10.0625,0.3648996147,12.6875,48.375,0.2363636364,0.7375565611
creighton bluejays,29,10.38463324,0.4097308929,10.65517241,0.3580908012,12.79310345,50.4137931,0.1942405421,0.726744186
unlv lady rebels,32,10.99139102,0.4087821334,11.8125,0.3434809694,14.125,49.03125,0.3102208526,0.7400662252
belmont bruins,29,9.680203707,0.4083440779,11.03448276,0.3338001278,12.82758621,47.34482759,0.2468989959,0.6937799043
troy trojans,31,8.403141682,0.4074577941,18.93548387,0.2710690865,16.87096774,54.74193548,0.319614711,0.7356164384
ole miss rebels,29,8.297247538,0.402210419,14.24137931,0.2861119841,14.4137931,47.10344828,0.3125351321,0.6744604317
ucla bruins,25,7.81364411,0.4011156974,11.96,0.3125457644,13.2,48.12,0.2476697736,0.7741935484
kentucky wildcats,30,9.437050355,0.4011034,12.8,0.3145683452,13.96666667,50.93333333,0.2552301255,0.6967213115
tulane green wave,28,8.435528183,0.400322636,14.14285714,0.3012688637,15.07142857,47.5,0.3314020857,0.7465034965
nevada wolf pack,29,8.732426325,0.3987292831,11.93103448,0.3011181491,12.75862069,49.89655172,0.2225320692,0.8020050125
